panel,series,case,N,x,y,value,unit,formula,evidenceClass,note
B,exact row-sum upper,N=64,64,1,1.0,1.0,Gram eigenvalue,p,exact finite box Gram matrix,same spatial direction; p=Nh/T
B,largest eigenvalue,N=64,64,2,1.9988322268323275,1.9988322268323275,Gram eigenvalue,lambda_max(G),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact Rayleigh lower,N=64,64,2,1.984375,1.984375,Gram eigenvalue,p-(p^2-1)/(3N),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact row-sum upper,N=64,64,2,2.0,2.0,Gram eigenvalue,p,exact finite box Gram matrix,same spatial direction; p=Nh/T
B,largest eigenvalue,N=64,64,4,3.988636492567813,3.988636492567813,Gram eigenvalue,lambda_max(G),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact Rayleigh lower,N=64,64,4,3.921875,3.921875,Gram eigenvalue,p-(p^2-1)/(3N),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact row-sum upper,N=64,64,4,4.0,4.0,Gram eigenvalue,p,exact finite box Gram matrix,same spatial direction; p=Nh/T
B,largest eigenvalue,N=64,64,8,7.9098666839828455,7.9098666839828455,Gram eigenvalue,lambda_max(G),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact Rayleigh lower,N=64,64,8,7.671875,7.671875,Gram eigenvalue,p-(p^2-1)/(3N),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact row-sum upper,N=64,64,8,8.0,8.0,Gram eigenvalue,p,exact finite box Gram matrix,same spatial direction; p=Nh/T
B,largest eigenvalue,N=64,64,16,15.351088061032993,15.351088061032993,Gram eigenvalue,lambda_max(G),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact Rayleigh lower,N=64,64,16,14.671875,14.671875,Gram eigenvalue,p-(p^2-1)/(3N),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact row-sum upper,N=64,64,16,16.0,16.0,Gram eigenvalue,p,exact finite box Gram matrix,same spatial direction; p=Nh/T
B,largest eigenvalue,N=64,64,32,27.892334741239242,27.892334741239242,Gram eigenvalue,lambda_max(G),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact Rayleigh lower,N=64,64,32,26.671875,26.671875,Gram eigenvalue,p-(p^2-1)/(3N),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact row-sum upper,N=64,64,32,32.0,32.0,Gram eigenvalue,p,exact finite box Gram matrix,same spatial direction; p=Nh/T
C,critical H^-1 heat cost,,1,1,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,1,1,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
C,critical H^-1 heat cost,,2,2,32.04165582000739,32.04165582000739,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,2,2,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
C,critical H^-1 heat cost,,4,4,128.16662328002957,128.16662328002957,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,4,4,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
C,critical H^-1 heat cost,,8,8,512.6664931201183,512.6664931201183,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,8,8,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
C,critical H^-1 heat cost,,16,16,2050.665972480473,2050.665972480473,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,16,16,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
C,critical H^-1 heat cost,,32,32,8202.663889921892,8202.663889921892,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,32,32,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
C,critical H^-1 heat cost,,64,64,32810.65555968757,32810.65555968757,dimensionless coefficient,(nu*K^2/2)coth(nu*theta/2),exact adjoint heat packet,endpoint upper packet; not an event lower charge
C,strong L2 heat coefficient,,64,64,8.010413955001848,8.010413955001848,dimensionless coefficient,(nu/2)coth(nu*theta/2),exact adjoint heat packet,constant only with the strong L2 ledger
D,positive face response,,0,0,0.5,0.5,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,0,0,1.0,1.0,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,0,0,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,0,0,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
D,positive face response,,1,1,0.9411764705882353,0.9411764705882353,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,1,1,1.8823529411764706,1.8823529411764706,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,1,1,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,1,1,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
D,positive face response,,2,2,0.9961089494163424,0.9961089494163424,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,2,2,1.9922178988326849,1.9922178988326849,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,2,2,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,2,2,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
D,positive face response,,3,3,0.9997559189650964,0.9997559189650964,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,3,3,1.9995118379301928,1.9995118379301928,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,3,3,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,3,3,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
D,positive face response,,4,4,0.9999847414437646,0.9999847414437646,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,4,4,1.9999694828875292,1.9999694828875292,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,4,4,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,4,4,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
D,positive face response,,6,6,0.9999999403953588,0.9999999403953588,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,6,6,1.9999998807907176,1.9999998807907176,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,6,6,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,6,6,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
D,positive face response,,8,8,0.9999999997671694,0.9999999997671694,normalized response,r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,Jordan response,,8,8,1.9999999995343387,1.9999999995343387,normalized response,2r^4/(r^4+eta),exact soft even-touch profile,forced-parabolic even touch; not an NSE trajectory
D,signed precursor response,,8,8,0.0,0.0,normalized response,A_+-A_-=0,exact signed face cancellation,forced-parabolic even touch; not an NSE trajectory
D,zero-mean detector response,,8,8,0.0,0.0,normalized response,mean(psi_0)=0,exact separable bilinear mean dichotomy,forced-parabolic even touch; not an NSE trajectory
